accidente,hora,operador,tipo de aeronave,modelo,personas a bordo,pasajeros a bordo,tripulantes a bordo,total de fallecidos,pasajeros fallecidos,tripulantes fallecidos,afectados en tierra,sobrevivientes,militar,país
1927-09-03,00:00:00,COLONIAL AIR TRANSPORT,Fokker Universal,405,1,0,1,1,0,1,0,0,No militar,U.S.A.
1927-09-17,00:00:00,REYNOLDS AIRWAYS,Fokker F-VII,4840,12,11,1,7,6,1,0,5,No militar,U.S.A.
1927-09-17,04:05:00,PRIVATE,Fokker F7,4899/0501,3,1,2,3,1,2,0,0,No militar,Ocean
1927-09-23,10:00:00,DEUTSCHE LUFTHANSA,Dornier Merkur,075,6,4,2,6,4,2,0,0,No militar,Germany
1927-10-06,00:00:00,LIGNES AERIENNES LATECOERE,Breguet 14,229,2,0,2,2,0,2,0,0,No militar,Mauritania
1927-10-30,00:00:00,COLONIAL AIR TRANSPORT,Fairchild FC-2,20,4,3,1,4,3,1,0,0,No militar,U.S.A.
1927-11-08,00:00:00,CIDNA,Farman F-121 Jabiru,1,1,0,1,1,0,1,0,0,No militar,France
1927-11-16,00:00:00,AERO O-Y,Junkers F-13,798,6,4,2,6,4,2,0,0,No militar,Finland
1927-11-29,00:00:00,NATIONAL AIR TRANSPORT,Douglas M-4,PO641,1,0,1,1,0,1,0,0,No militar,U.S.A.
1927-12-28,00:00:00,AEROPOSTALE,Breguet 14,227,1,0,1,1,0,1,0,0,No militar,Spain
1927-12-31,00:00:00,LATECOERE AIRLINES,Latécoère 23 (flying boat),23-1,5,0,5,5,0,5,0,0,No militar,France
1928-01-08,00:00:00,COLONIAL WESTERN AIRLINES,Fairchild FC-2,39,3,1,2,3,1,2,0,0,No militar,U.S.A.
1928-01-16,00:00:00,AEROPOSTALE,Latecoere 25,633,2,0,2,2,0,2,0,0,No militar,Uruguay
1928-01-22,00:00:00,AEROPOSTALE,Breguet 14,No Data,1,0,1,1,0,1,0,0,No militar,Ocean
1928-01-22,00:00:00,AEROPOSTALE,Breguet 14,240,2,0,2,2,0,2,0,0,No militar,Spain
1928-01-27,00:00:00,AEROPOSTALE,Breguet 14,162,1,0,1,1,0,1,0,0,No militar,Spain
1928-02-26,00:00:00,BOEING AIR TRANSPORT,Boeing 40,891,2,1,1,1,1,0,0,1,No militar,U.S.A.
1928-03-11,00:00:00,AIR UNION,Farman F-60 Goliath,62/6943,2,0,2,2,0,2,0,0,No militar,France
1928-04-17,00:00:00,BOEING AIR TRANSPORT,Boeing 40,893,2,1,1,1,1,0,0,1,No militar,U.S.A.
1928-04-19,00:00:00,IBERIA AIRLINES,Rohrbach Roland,36,9,7,2,9,7,2,0,0,No militar,Spain
1928-05-07,00:00:00,AEROPOSTALE,Latecoere 26,671,5,3,2,1,1,0,0,4,No militar,Brazil
1928-05-12,00:00:00,FORD AIR FREIGHT INC.,Ford 4,4-AT-001,2,0,2,2,0,2,0,0,No militar,U.S.A.
1928-05-26,00:00:00,DEUTSCHE LUFTHANSA,Junkers F-13,742,5,4,1,3,2,1,0,2,No militar,Germany
1928-06-14,00:00:00,DEUTSCHE LUFTHANSA,AEGK,439,5,4,1,5,4,1,0,0,No militar,Germany
1928-06-22,00:00:00,NATIONAL AIR TRANSPORT,Douglas M-4,628,1,0,1,1,0,1,0,0,No militar,U.S.A.
1928-07-10,00:00:00,AERO O-Y,Junkers F-13,760,6,4,2,6,4,2,0,0,No militar,Finland
1928-07-13,00:00:00,IMPERIAL AIRWAYS,Vickers 74 Vulcan,9,6,5,1,4,4,0,0,2,No militar,Ocean
1928-07-24,14:48:00,KLM ROYAL DUTCH AIRLINES,Fokker (KLM) F.III,1533 (KLM-1),6,5,1,1,1,0,0,5,No militar,Netherlands
